date,year,year_month,era,category,category_disruption_score,import_dependency_pct
2016-06-01,2016,2016-06,Pre-COVID,Energy & Fuels,22.07,71.0
2016-06-01,2016,2016-06,Pre-COVID,Food & Drink,23.36,82.0
2016-06-01,2016,2016-06,Pre-COVID,Clothing,22.3,91.0
2016-06-01,2016,2016-06,Pre-COVID,Machinery & Industrial,10.84,78.0
2016-06-01,2016,2016-06,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-06-01,2016,2016-06,Pre-COVID,Energy & Fuels,22.07,71.0
2016-07-01,2016,2016-07,Pre-COVID,Food & Drink,62.76,82.0
2016-07-01,2016,2016-07,Pre-COVID,Clothing,65.73,91.0
2016-07-01,2016,2016-07,Pre-COVID,Machinery & Industrial,14.33,78.0
2016-07-01,2016,2016-07,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-07-01,2016,2016-07,Pre-COVID,Energy & Fuels,26.35,71.0
2016-07-01,2016,2016-07,Pre-COVID,Food & Drink,25.86,82.0
2016-07-01,2016,2016-07,Pre-COVID,Clothing,24.78,91.0
2016-07-01,2016,2016-07,Pre-COVID,Machinery & Industrial,14.33,78.0
2016-07-01,2016,2016-07,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-07-01,2016,2016-07,Pre-COVID,Energy & Fuels,26.35,71.0
2016-08-01,2016,2016-08,Pre-COVID,Food & Drink,62.08,82.0
2016-08-01,2016,2016-08,Pre-COVID,Clothing,65.0,91.0
2016-08-01,2016,2016-08,Pre-COVID,Machinery & Industrial,15.75,78.0
2016-08-01,2016,2016-08,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-08-01,2016,2016-08,Pre-COVID,Energy & Fuels,27.27,71.0
2016-08-01,2016,2016-08,Pre-COVID,Food & Drink,25.18,82.0
2016-08-01,2016,2016-08,Pre-COVID,Clothing,24.05,91.0
2016-08-01,2016,2016-08,Pre-COVID,Machinery & Industrial,15.75,78.0
2016-08-01,2016,2016-08,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-08-01,2016,2016-08,Pre-COVID,Energy & Fuels,27.27,71.0
2016-09-01,2016,2016-09,Pre-COVID,Food & Drink,60.02,82.0
2016-09-01,2016,2016-09,Pre-COVID,Clothing,64.26,91.0
2016-09-01,2016,2016-09,Pre-COVID,Machinery & Industrial,6.6,78.0
2016-09-01,2016,2016-09,Pre-COVID,Chemicals & Pharma,43.0,65.0
2016-09-01,2016,2016-09,Pre-COVID,Energy & Fuels,23.16,71.0
2016-09-01,2016,2016-09,Pre-COVID,Food & Drink,23.12,82.0
2016-09-01,2016,2016-09,Pre-COVID,Clothing,23.31,91.0
2016-09-01,2016,2016-09,Pre-COVID,Machinery & Industrial,6.6,78.0
2016-09-01,2016,2016-09,Pre-COVID,Chemicals & Pharma,43.0,65.0
